authors,title,event_name,date,kind
"藤原 千隼, 黒澤 俊介, 山路 晃広, 田中 浩基, 高田 卓志, 大橋 雄二, 横田 有為, 鎌田 圭, 佐藤 浩樹, 豊田 智史, 吉野 将生, 村上 力輝斗, 堀合 毅彦, 花田 貴, 吉川 彰",赤色発光を示すヨウ化物中性子シンチレータの発光特性,第70回応用物理学会 春季学術講演会,2023-03,国内会議
藤原 千隼,赤色発光を示す高輝度中性子シンチレータの開発,"Scintillator for Medical, Astroparticle and enviromental Radiation Technologeis(SMART2022)",2022-12,国内会議
"藤原 千隼, 黒澤 俊介, 山路 晃広",新規赤色発光中性子シンチレータの開発に向けた Li2HfX6の発光特性調査,UVSORシンポジウム2022,2022-11,国内会議
"藤原 千隼, 黒澤 俊介, 山路 晃広, 大橋 雄二, 横田有為, 佐藤 宏樹, 豊田 智史, 吉野 将生, 村上 力輝斗, 堀合 毅彦, 花田 貴, 鎌田 圭, 吉川 彰","新規Li2Hf(Br, I)6中性子シンチレータの結晶構造と発光特性",公益社団法人日本セラミックス協会 第35回秋季シンポジウム,2022-09,国内会議
"藤原千隼, 黒澤俊介, 山路晃広","原発廃炉に向けたリモート;リアルタイム中性子;ガンマ線両モニタ用の;赤色発光Li2Hf(I,Br)6シンチレータの特性",次世代放射線シンポジウム2022,2022-08,国内会議
藤原 千隼,ハロゲン化物シンチレータの開発,「未来PET創造研究ユニット」キックオフBench to linical シンポジウム,2022-05,国内会議
"藤原 千隼, 黒澤俊介, 山路晃広, 大橋雄二, 横田有為, 佐藤宏樹, 豊田智史, 鎌田圭, 吉野将生, 花田貴, 吉川彰",放射線モニタ用のLi2HfX6￢￢￢新規中性子シンチレータ開発,第60回セラミックス基礎科学討論会,2022-01,国内会議
"藤原千隼, 黒澤俊介, 山路晃広, 大橋雄二, 横田有為, 佐藤宏樹, 豊田智史, 鎌田圭, 吉野将生, 花田貴, 吉川彰",中性子・ガンマ線デュアル検出用のLi2HfI6シンチレータ開発,第15回日本フラックス成長研究会,2021-12,国内会議
"藤原千隼, 小玉翔平, 黒澤俊介, 山路晃広","Cs2Hf(Br, X)6結晶の発光特性の調査と発光機構の検討",UVSORシンポジウム2021,2021-11,国内会議
"藤原 千隼, 石川 志緒利, 小玉 翔平, 黒澤 俊介, 山路 晃広, 大橋 雄二, 横田 有為, 鎌田 圭, 佐藤 浩樹, 豊田 智史, 吉野 将生, 花田 貴, 吉川 彰",廃炉用リアルタイム放射線計測のためのCs￢2HfI6シンチレータ結晶の透過率向上,第50回結晶成長国内会議,2021-10,国内会議
"藤原 千隼, 小玉 翔平, 黒澤 俊介, 山路 晃広, 大橋 雄二, 横田有為, 佐藤 宏樹, 豊田 智史, 吉野 将生, 花田 貴, 鎌田 圭, 吉川 彰",ハフニウムを用いた赤色・近赤外発光 ヨウ化物シンチレータ結晶育成とその光学特性,公益社団法人日本セラミックス協会 第34回秋季シンポジウム,2021-09,国内会議
"藤原 千隼, 小玉 翔平, 石川 志緒利, 黒澤 俊介, 山路 晃広, 大橋 雄二, 横田 有為, 鎌田 圭, 佐藤 浩樹, 豊田 智史, 吉野 将生, 花田 貴, 吉川 彰","線量モニタ開発用の赤色発光Cs2Hf(I,Br)6シンチレータの発光特性研究",第82回応用物理学会 秋季学術講演会,2021-09,国内会議
"藤原千隼, 小玉翔平, 黒澤俊介","原発廃炉に向けたリモート・リアルタイム線量モニタ用の赤色発光Cs2Hf(I,Br)6シンチレータの特性",2021年 次世代放射線シンポジウム,2021-08,国内会議
"藤原千隼, 黒澤俊介, 山路晃広, 大橋雄二, 横田有為, 佐藤宏樹, 豊田智史, 鎌田圭, 吉野将生, 花田貴, 吉川彰",光ファイバーを用いた高線量場測定用の中性子・ガンマ線 デュアル検出Li2HfBr6シンチレータの開発,研究会「放射線検出器とその応用」（第36回）,,国内会議
"藤原 千隼, 黒澤 俊介, 山路 晃広, 大橋 雄二, 横田 有為, 鎌田 圭, 佐藤 浩樹, 豊田 智史, 吉野 将生, 村上 力輝斗, 堀合 毅彦, 花田 貴, 吉川 彰","中性子・ガンマ線両検出用の 新規赤色発光Li2Hf(Br,I)6シンチレータの発光特性",第83回応用物理学会 秋季学術講演会,,国内会議
"藤原 千隼, 黒澤 俊介, 山路 晃広, 大橋 雄二, 横田 有為, 佐藤 宏樹, 豊田 智史, 鎌田 圭, 吉野 将生, 村上 力輝斗, 堀合 毅彦, 花田 貴, 吉川 彰","原発廃炉に向けたLi2BX6シンチレータ(B = Hf, Zr, X = Cl, Br, I)の発光特性とその温度依存性",第60回セラミックス基礎科学討論会,,国内会議
